clusters,silhouette_score,method,linkage,return_mode,window_size,df_mode,inertia,entropy
7,0.10458528208980096,ahc,complete,geometric,60,full,,2.5643
9,0.09652425933969339,ahc,complete,geometric,60,full,,2.8316
10,0.09499446781028224,ahc,complete,geometric,60,full,,3.1664
12,0.10347411103520746,ahc,complete,geometric,60,full,,3.3888
15,0.10177785292422141,ahc,complete,geometric,60,full,,3.6294
18,0.10417524644046815,ahc,complete,geometric,60,full,,3.8605
4,-0.07164693567536613,ahc,single,geometric,60,full,,0.1621
7,-0.14329516599018666,ahc,single,geometric,60,full,,0.3236
9,-0.1599239407776392,ahc,single,geometric,60,full,,0.4089
10,-0.16428329709981535,ahc,single,geometric,60,full,,0.4182
12,-0.14835566894609672,ahc,single,geometric,60,full,,0.6265
15,-0.16145821932747484,ahc,single,geometric,60,full,,0.7864
18,-0.15221849934958073,ahc,single,geometric,60,full,,0.9188
