,clusters,silhouette_score,method,linkage,return_mode,window_size/span,df_mode,window_size,min_per_cluster,max_per_cluster,min_max_delta,silhouette_norm,delta_norm,total_score
765,5,-0.0817359556973514,kshape,not_applicable,geometric,30,weekly,30.0,0.0946,0.3649,0.2703,0.2731574617393361,0.7487638085218307,0.5109606351305833
766,6,-0.2400344379857114,kshape,not_applicable,geometric,30,weekly,30.0,0.036,0.2568,0.2207,0.10828431883563994,0.800946870068385,0.4546155944520125
767,7,-0.2961006373836018,kshape,not_applicable,geometric,30,weekly,30.0,0.0225,0.2613,0.2387,0.04988950435752776,0.7820094687006839,0.4159494865291058
768,4,0.1501723046469779,kshape,not_applicable,geometric,3,3day,3.0,0.1441,0.4775,0.3333,0.5146976407452702,0.6824829037348764,0.5985902722400733
769,5,0.1216838956764071,kshape,not_applicable,geometric,3,3day,3.0,0.0856,0.4054,0.3198,0.4850260137315144,0.6966859547606523,0.5908559842460833
770,6,0.1640854221092376,kshape,not_applicable,geometric,3,3day,3.0,0.0631,0.2613,0.1982,0.5291886160877404,0.8246186217780116,0.676903618932876
771,7,0.1763725957145889,kshape,not_applicable,geometric,3,3day,3.0,0.0676,0.2973,0.2297,0.5419861167360871,0.7914781693845345,0.6667321430603108
772,4,0.1621196265287171,kshape,not_applicable,geometric,3,full,3.0,0.1396,0.5045,0.3649,0.5271411745015587,0.6492372435560232,0.588189209028791
773,5,0.1740987548821905,kshape,not_applicable,geometric,3,full,3.0,0.1441,0.3784,0.2342,0.5396178357577682,0.7867438190426091,0.6631808274001887
774,6,0.1887141021452332,kshape,not_applicable,geometric,3,full,3.0,0.0946,0.2703,0.1757,0.5548402068320357,0.8482903734876381,0.7015652901598369
775,7,0.1807022043836225,kshape,not_applicable,geometric,3,full,3.0,0.045,0.2928,0.2477,0.5464955484026923,0.7725407680168332,0.6595181582097628
776,4,0.1072378449147666,kshape,not_applicable,geometric,3,weekly,3.0,0.1577,0.3739,0.2162,0.4699799706034487,0.8056812204103103,0.6378305955068795
777,5,0.1175076907270964,kshape,not_applicable,geometric,3,weekly,3.0,0.0766,0.3919,0.3153,0.48067635714953555,0.7014203051025776,0.5910483311260566
